,KY,GBPUSD,GBPEUR,UKGILT,FTSE
KY,1.0,-0.1441606323737994,-0.1002965320363712,0.0566209623559952,-0.004998124039434066
GBPUSD,-0.1441606323737994,1.0,0.5198981168564768,-0.12491501131205565,0.014284279801921426
GBPEUR,-0.1002965320363712,0.5198981168564768,1.0,-0.11121415474957386,0.08458173677724384
UKGILT,0.0566209623559952,-0.12491501131205565,-0.11121415474957386,1.0,-0.1759314966298602
FTSE,-0.004998124039434066,0.014284279801921426,0.08458173677724384,-0.1759314966298602,1.0
